,country,year,sex,Preventable mortality,Treatable mortality,GDP per capita,y_QU1,y_QU2,y_QU3,y_QU4,y_QU5,high bmi,smoking,binge drinking
0,Austria,2011,F,95.29,67.41,36970.0,16542.1,27955.8,36687.8,48214.5,74519.8,0.113,0.083,0.375
1,Austria,2011,M,248.5,96.86,36970.0,16542.1,27955.8,36687.8,48214.5,74519.8,0.146,0.141,0.3
2,Austria,2012,F,96.16,69.72,37820.0,16542.1,27955.8,36687.8,48214.5,74519.8,0.113,0.083,0.375
3,Austria,2012,M,252.28,91.45,37820.0,16542.1,27955.8,36687.8,48214.5,74519.8,0.146,0.141,0.3
4,Austria,2013,F,93.22,66.84,38210.0,16542.1,27955.8,36687.8,48214.5,74519.8,0.113,0.083,0.375
5,Austria,2013,M,245.9,92.05,38210.0,16542.1,27955.8,36687.8,48214.5,74519.8,0.146,0.141,0.3
6,Austria,2014,F,93.95,66.7,38990.0,16542.1,27955.8,36687.8,48214.5,74519.8,0.113,0.083,0.375
7,Austria,2014,M,238.63,90.11,38990.0,16542.1,27955.8,36687.8,48214.5,74519.8,0.146,0.141,0.3
8,Austria,2015,F,97.52,66.85,39890.0,16542.1,27955.8,36687.8,48214.5,74519.8,0.113,0.083,0.375
9,Austria,2015,M,242.3,92.66,39890.0,16542.1,27955.8,36687.8,48214.5,74519.8,0.146,0.141,0.3
10,Austria,2016,F,96.39,66.58,40920.0,16542.1,27955.8,36687.8,48214.5,74519.8,0.113,0.083,0.375
11,Austria,2016,M,231.4,90.42,40920.0,16542.1,27955.8,36687.8,48214.5,74519.8,0.146,0.141,0.3
12,Austria,2017,F,92.94,65.48,42000.0,16542.1,27955.8,36687.8,48214.5,74519.8,0.113,0.083,0.375
13,Austria,2017,M,226.73,88.27,42000.0,16542.1,27955.8,36687.8,48214.5,74519.8,0.146,0.141,0.3
14,Belgium,2011,F,101.35,78.98,34060.0,15834.1,23310.6,33248.2,44849.9,68233.2,0.129,0.063,0.278
15,Belgium,2011,M,248.21,86.28,34060.0,15834.1,23310.6,33248.2,44849.9,68233.2,0.126,0.08900000000000001,0.175
16,Belgium,2012,F,99.97,77.35,34770.0,15834.1,23310.6,33248.2,44849.9,68233.2,0.129,0.063,0.278
17,Belgium,2012,M,246.27,87.46,34770.0,15834.1,23310.6,33248.2,44849.9,68233.2,0.126,0.08900000000000001,0.175
18,Belgium,2013,F,100.34,76.24,35210.0,15834.1,23310.6,33248.2,44849.9,68233.2,0.129,0.063,0.278
19,Belgium,2013,M,239.34,87.82,35210.0,15834.1,23310.6,33248.2,44849.9,68233.2,0.126,0.08900000000000001,0.175
20,Belgium,2014,F,95.4,70.91,35950.0,15834.1,23310.6,33248.2,44849.9,68233.2,0.129,0.063,0.278
21,Belgium,2014,M,231.42,79.38,35950.0,15834.1,23310.6,33248.2,44849.9,68233.2,0.126,0.08900000000000001,0.175
22,Belgium,2015,F,99.71,69.15,36960.0,15834.1,23310.6,33248.2,44849.9,68233.2,0.129,0.063,0.278
23,Belgium,2015,M,225.13,79.3,36960.0,15834.1,23310.6,33248.2,44849.9,68233.2,0.126,0.08900000000000001,0.175
24,Belgium,2016,F,94.13,66.19,37960.0,15834.1,23310.6,33248.2,44849.9,68233.2,0.129,0.063,0.278
25,Belgium,2016,M,218.89,77.34,37960.0,15834.1,23310.6,33248.2,44849.9,68233.2,0.126,0.08900000000000001,0.175
26,Belgium,2017,F,93.42,66.61,39130.0,15834.1,23310.6,33248.2,44849.9,68233.2,0.129,0.063,0.278
27,Belgium,2017,M,208.83,75.81,39130.0,15834.1,23310.6,33248.2,44849.9,68233.2,0.126,0.08900000000000001,0.175
28,Bulgaria,2011,F,119.32,151.57,5640.0,1847.7,3270.1,5115.9,7451.6,14354.6,0.11599999999999999,0.084,0.278
29,Bulgaria,2011,M,344.65,248.0,5640.0,1847.7,3270.1,5115.9,7451.6,14354.6,0.146,0.23199999999999998,0.272
30,Bulgaria,2012,F,126.17,160.44,5780.0,1847.7,3270.1,5115.9,7451.6,14354.6,0.11599999999999999,0.084,0.278
31,Bulgaria,2012,M,365.78,261.28,5780.0,1847.7,3270.1,5115.9,7451.6,14354.6,0.146,0.23199999999999998,0.272
32,Bulgaria,2013,F,119.29,147.09,5790.0,1847.7,3270.1,5115.9,7451.6,14354.6,0.11599999999999999,0.084,0.278
33,Bulgaria,2013,M,379.13,248.15,5790.0,1847.7,3270.1,5115.9,7451.6,14354.6,0.146,0.23199999999999998,0.272
34,Bulgaria,2014,F,129.04,155.03,5960.0,1847.7,3270.1,5115.9,7451.6,14354.6,0.11599999999999999,0.084,0.278
35,Bulgaria,2014,M,378.31,256.34,5960.0,1847.7,3270.1,5115.9,7451.6,14354.6,0.146,0.23199999999999998,0.272
36,Bulgaria,2015,F,128.32,152.09,6380.0,1847.7,3270.1,5115.9,7451.6,14354.6,0.11599999999999999,0.084,0.278
37,Bulgaria,2015,M,381.02,252.99,6380.0,1847.7,3270.1,5115.9,7451.6,14354.6,0.146,0.23199999999999998,0.272
38,Bulgaria,2016,F,120.14,146.35,6840.0,1847.7,3270.1,5115.9,7451.6,14354.6,0.11599999999999999,0.084,0.278
39,Bulgaria,2016,M,363.2,251.99,6840.0,1847.7,3270.1,5115.9,7451.6,14354.6,0.146,0.23199999999999998,0.272
40,Bulgaria,2017,F,121.87,147.07,7420.0,1847.7,3270.1,5115.9,7451.6,14354.6,0.11599999999999999,0.084,0.278
41,Bulgaria,2017,M,356.95,246.1,7420.0,1847.7,3270.1,5115.9,7451.6,14354.6,0.146,0.23199999999999998,0.272
42,Croatia,2011,F,131.81,123.47,10660.0,3333.2,6707.4,9936.8,13733.3,21342.7,0.138,0.081,0.184
43,Croatia,2011,M,409.37,192.33,10660.0,3333.2,6707.4,9936.8,13733.3,21342.7,0.198,0.198,0.265
44,Croatia,2012,F,120.78,119.18,10470.0,3333.2,6707.4,9936.8,13733.3,21342.7,0.138,0.081,0.184
45,Croatia,2012,M,409.87,188.58,10470.0,3333.2,6707.4,9936.8,13733.3,21342.7,0.198,0.198,0.265
46,Croatia,2013,F,118.38,113.21,10470.0,3333.2,6707.4,9936.8,13733.3,21342.7,0.138,0.081,0.184
47,Croatia,2013,M,387.01,176.58,10470.0,3333.2,6707.4,9936.8,13733.3,21342.7,0.198,0.198,0.265
48,Croatia,2014,F,120.42,113.53,10410.0,3333.2,6707.4,9936.8,13733.3,21342.7,0.138,0.081,0.184
49,Croatia,2014,M,375.01,182.66,10410.0,3333.2,6707.4,9936.8,13733.3,21342.7,0.198,0.198,0.265
50,Croatia,2015,F,125.41,117.19,10780.0,3333.2,6707.4,9936.8,13733.3,21342.7,0.138,0.081,0.184
51,Croatia,2015,M,381.83,187.51,10780.0,3333.2,6707.4,9936.8,13733.3,21342.7,0.198,0.198,0.265
52,Croatia,2016,F,113.56,109.32,11370.0,3333.2,6707.4,9936.8,13733.3,21342.7,0.138,0.081,0.184
53,Croatia,2016,M,368.24,175.61,11370.0,3333.2,6707.4,9936.8,13733.3,21342.7,0.198,0.198,0.265
54,Croatia,2017,F,117.26,107.57,12130.0,3333.2,6707.4,9936.8,13733.3,21342.7,0.138,0.081,0.184
55,Croatia,2017,M,363.82,176.44,12130.0,3333.2,6707.4,9936.8,13733.3,21342.7,0.198,0.198,0.265
56,Cyprus,2011,F,57.31,70.88,23340.0,11467.4,18180.6,25357.4,35763.9,60673.0,0.09699999999999999,0.049,0.203
57,Cyprus,2011,M,163.84,88.06,23340.0,11467.4,18180.6,25357.4,35763.9,60673.0,0.147,0.218,0.306
58,Cyprus,2012,F,49.38,67.92,22570.0,11467.4,18180.6,25357.4,35763.9,60673.0,0.09699999999999999,0.049,0.203
59,Cyprus,2012,M,180.62,101.88,22570.0,11467.4,18180.6,25357.4,35763.9,60673.0,0.147,0.218,0.306
60,Cyprus,2013,F,47.75,61.18,20930.0,11467.4,18180.6,25357.4,35763.9,60673.0,0.09699999999999999,0.049,0.203
61,Cyprus,2013,M,172.97,87.87,20930.0,11467.4,18180.6,25357.4,35763.9,60673.0,0.147,0.218,0.306
62,Cyprus,2014,F,54.65,63.0,20510.0,11467.4,18180.6,25357.4,35763.9,60673.0,0.09699999999999999,0.049,0.203
63,Cyprus,2014,M,166.58,84.74,20510.0,11467.4,18180.6,25357.4,35763.9,60673.0,0.147,0.218,0.306
64,Cyprus,2015,F,55.67,70.35,21170.0,11467.4,18180.6,25357.4,35763.9,60673.0,0.09699999999999999,0.049,0.203
65,Cyprus,2015,M,168.48,89.91,21170.0,11467.4,18180.6,25357.4,35763.9,60673.0,0.147,0.218,0.306
